title,authors,year,doi,arxiv_id,source,screening_stage,decision,reason,version_relationship,evidence_level,screened_date,review_tier
ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,Shridhar et al.,2021,,2010.03768,arXiv; ICLR,title/abstract,included,Foundational paired text/embodied interactive environment; supports embodied-agent benchmark lineage.,arXiv and ICLR 2021 are one work; cite formal version.,仅阅读摘要,2026-07-23,background
ScienceWorld: Is your Agent Smarter than a 5th Grader?,Wang et al.,2022,10.18653/v1/2022.emnlp-main.775,2203.07540,arXiv; ACL Anthology,title/abstract,included,"Relevant interactive science environment for grounded, multi-step agent testing.",arXiv and EMNLP 2022 are one work; cite formal version.,仅阅读摘要,2026-07-23,background
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Li et al.,2023,10.18653/v1/2023.emnlp-main.187,2304.08244,arXiv; ACL Anthology,title/abstract,included,"Direct benchmark of API retrieval, planning and calling.",arXiv and EMNLP 2023 are one work; cite formal version.,仅阅读摘要,2026-07-23,background
Mind2Web: Towards a Generalist Agent for the Web,Deng et al.,2023,,2306.06070,arXiv; NeurIPS,title/abstract,included,High-impact Web-agent dataset covering unseen sites and domains.,arXiv and NeurIPS 2023 formal record are one work.,仅阅读摘要,2026-07-23,background
InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,Yang et al.,2023,,2306.14898,arXiv; NeurIPS,title/abstract,included,Provides interactive execution-feedback evaluation for coding agents.,arXiv and NeurIPS 2023 formal record are one work.,仅阅读摘要,2026-07-23,background
WebArena: A Realistic Web Environment for Building Autonomous Agents,Zhou et al.,2024,,2307.13854,arXiv; OpenReview,full text,included,Core realistic browser-agent benchmark with executable functional oracles.,arXiv and ICLR 2024 are one work; cite formal version.,已阅读全文,2026-07-23,supporting-benchmark
ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,Qin et al.,2024,,2307.16789,arXiv; OpenReview,full text,included,Core large-scale tool-use benchmark and evaluator pipeline.,arXiv and ICLR 2024 are one work; ToolBench is not counted separately.,已阅读全文,2026-07-23,background
AgentBench: Evaluating LLMs as Agents,Liu et al.,2024,,2308.03688,arXiv; OpenReview,full text,included,Direct cross-environment LLM-agent evaluation with trajectory failure categories.,arXiv and ICLR 2024 are one work; cite formal version.,已阅读全文,2026-07-23,supporting-benchmark
Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Ruan et al.,2024,,2309.15817,arXiv; OpenReview,full text,included,Core simulation-based safety evaluation and risk discovery framework.,ToolEmu is the system name; arXiv and ICLR 2024 are one paper.,已阅读全文,2026-07-23,supporting-benchmark
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Jimenez et al.,2024,,2310.06770,arXiv; OpenReview,full text,included,Canonical repository-level coding-agent benchmark with executable tests.,"arXiv and ICLR 2024 are one work; Verified is a dataset subset, not a separate paper.",已阅读全文,2026-07-23,background
GAIA: A Benchmark for General AI Assistants,Mialon et al.,2024,,2311.12983,arXiv; OpenReview,full text,included,"Core general-assistant benchmark requiring tools, browsing and multimodality.",arXiv and ICLR 2024 are one work; cite formal version.,已阅读全文,2026-07-23,background
Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models,Yi et al.,2025,10.1145/3690624.3709179,2312.14197,arXiv; ACM,title/abstract,included,Important indirect-prompt-injection benchmark feeding the agent-security lineage.,2023 preprint and KDD 2025 formal version are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,Ma et al.,2024,10.52202/079017-2365,2401.13178,arXiv; NeurIPS,full text,included,"Core progress-aware, trajectory-diagnostic agent evaluation board.",arXiv and NeurIPS 2024 are one work; cite formal version.,已阅读全文,2026-07-23,core-method
VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,Koh et al.,2024,10.18653/v1/2024.acl-long.50,2401.13649,arXiv; ACL Anthology,full text,included,Core multimodal Web-agent benchmark with realistic visual grounding.,arXiv and ACL 2024 are one work; cite formal version.,已阅读全文,2026-07-23,supporting-benchmark
InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Zhan et al.,2024,10.18653/v1/2024.findings-acl.624,2403.02691,arXiv; ACL Anthology,full text,included,"Direct, tool-integrated agent prompt-injection benchmark.",arXiv and Findings of ACL 2024 are one work.,已阅读全文,2026-07-23,supporting-benchmark
StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning of Large Language Models,Guo et al.,2024,10.18653/v1/2024.findings-acl.664,2403.07714,arXiv; ACL Anthology,title/abstract,included,Addresses API instability and longitudinal reproducibility in tool testing.,arXiv and Findings of ACL 2024 are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,Xie et al.,2024,10.52202/079017-1650,2404.07972,arXiv; NeurIPS,full text,included,Core real-computer benchmark with VM execution and perturbation evidence.,arXiv and NeurIPS 2024 are one work.,已阅读全文,2026-07-23,supporting-benchmark
Testing and Understanding Erroneous Planning in LLM Agents through Synthesized User Inputs,Ji et al.,2024,,2404.17833,arXiv,full text,included,Direct automatic test synthesis and constraint-based planning oracle.,No formal version verified.,已阅读全文,2026-07-23,core-method
AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,Rawles et al.,2025,,2405.14573,arXiv; OpenReview,title/abstract,included,"Dynamic, reproducible mobile-agent environment extends GUI coverage.",2024 preprint and ICLR 2025 formal version are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Yao et al.,2025,,2406.12045,arXiv; OpenReview,full text,included,Core stateful tool/user benchmark and repeated-reliability metric.,2024 preprint and ICLR 2025 formal version are one work.,已阅读全文,2026-07-23,core-method
AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Debenedetti et al.,2024,10.52202/079017-2636,2406.13352,arXiv; NeurIPS,full text,included,Core dynamic indirect-injection benchmark with deterministic utility/security oracles.,arXiv and NeurIPS 2024 are one work.,已阅读全文,2026-07-23,core-method
AI Agents That Matter,Kapoor et al.,2025,,2407.01502,arXiv; TMLR,full text,included,"Essential meta-evaluation evidence on cost, uncertainty, baselines and contamination.",2024 preprint and TMLR 2025 formal article are one work.,已阅读全文,2026-07-23,core-method
WorkArena++: Towards Compositional Planning and Reasoning-based Common Knowledge Work Tasks,Boisvert et al.,2024,,2407.05291,arXiv; NeurIPS,title/abstract,included,Enterprise workflow benchmark with compositional planning tasks.,ArXiv and NeurIPS 2024 are one work; predecessor WorkArena is not duplicated.,仅阅读摘要,2026-07-23,supporting-benchmark
AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,Chen et al.,2024,10.52202/079017-4136,2407.12784,arXiv; NeurIPS,title/abstract,included,Directly covers memory and knowledge-base poisoning.,arXiv and NeurIPS 2024 are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Trivedi et al.,2024,10.18653/v1/2024.acl-long.850,2407.18901,arXiv; ACL Anthology,full text,included,Strong executable state-difference oracle for interactive coding/tool agents.,arXiv and ACL 2024 are one work.,已阅读全文,2026-07-23,core-method
BadRobot: Jailbreaking Embodied LLM Agents in the Physical World,Zhang et al.,2025,,2407.20242,arXiv; ICLR proceedings,full text,included,Direct physical-action safety and language/action inconsistency evidence.,2024 preprint was revised; ICLR 2025 formal version preferred.,已阅读全文,2026-07-23,supporting-benchmark
Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,Zhang et al.,2025,10.18653/v1/2025.emnlp-main.1771,2407.20859,arXiv; ACL Anthology,title/abstract,included,Connects ordinary malfunction patterns with adversarial compromise.,2024 preprint and EMNLP 2025 formal version are one work.,仅阅读摘要,2026-07-23,core-method
"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities",Lu et al.,2025,10.18653/v1/2025.findings-naacl.65,2408.04682,arXiv; ACL Anthology,full text,included,Core stateful tool benchmark with flexible trajectory oracle and schema perturbations.,2024 preprint and Findings of NAACL 2025 are one work; formal author metadata preferred.,已阅读全文,2026-07-23,core-method
Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,Zhang et al.,2025,,2410.02644,arXiv; OpenReview,title/abstract,included,Broad attack/defense taxonomy and benchmark for agent security.,2024 preprint and ICLR 2025 formal version are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,Andriushchenko et al.,2025,,2410.09024,arXiv; OpenReview,full text,included,Core multi-step harmful tool-action and jailbreak benchmark.,2024 preprint and ICLR 2025 formal version are one work; formal 12-author metadata preferred.,已阅读全文,2026-07-23,supporting-benchmark
Agent-as-a-Judge: Evaluate Agents with Agents,Zhuge et al.,2025,,2410.10934,arXiv; PMLR,full text,included,Direct process-aware agent evaluator with artifact inspection.,2024 preprint and ICML 2025 formal version are one work.,已阅读全文,2026-07-23,core-method
AgentOps: Enabling Observability of LLM Agents,Dong et al.,2024,,2411.05285,arXiv,full text,included,Direct taxonomy of agent-specific traces/spans and tool capabilities.,No formal version verified.,已阅读全文,2026-07-23,background
The BrowserGym Ecosystem for Web Agent Research,Le Sellier de Chezelles et al.,2025,,2412.05467,arXiv; TMLR/OpenReview,full text,included,Standardized harness reduces cross-benchmark implementation confounds.,2024 preprint and TMLR 2025 formal article are one work; formal author order preferred.,已阅读全文,2026-07-23,supporting-benchmark
SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,Yin et al.,2024,,2412.13178,arXiv,full text,included,Direct safe-planning benchmark for embodied agents.,Current evidence is the 2024 preprint; ICLR 2026 under-review page is not a formal publication.,已阅读全文,2026-07-23,supporting-benchmark
Agent-SafetyBench: Evaluating the Safety of LLM Agents,Zhang et al.,2024,,2412.14470,arXiv,full text,included,Broad behavior-level agent safety benchmark and failure taxonomy.,Current identity is 2024 arXiv; later workshop listing not treated as a main-conference version.,已阅读全文,2026-07-23,supporting-benchmark
Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,Zhan et al.,2025,10.18653/v1/2025.findings-naacl.395,2503.00061,arXiv; ACL Anthology,title/abstract,included,Shows why defenses must be tested against defense-aware adaptive attacks.,arXiv and Findings of NAACL 2025 are one work.,仅阅读摘要,2026-07-23,supporting-benchmark
MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents,Zhu et al.,2025,10.18653/v1/2025.acl-long.421,2503.01935,arXiv; ACL Anthology,full text,included,Core collaboration/competition benchmark with process milestones and topology ablations.,arXiv and ACL 2025 are one work; formal Xiangru Tang metadata preferred.,已阅读全文,2026-07-23,supporting-benchmark
Why Do Multi-Agent LLM Systems Fail?,Cemri et al.,2025,,2503.13657,arXiv; NeurIPS,title/abstract,included,Direct failure taxonomy and propagation analysis for LLM multi-agent systems.,arXiv and NeurIPS 2025 formal record are one work.,仅阅读摘要,2026-07-23,core-method
AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,Wang et al.,2026,,2503.18666,arXiv; ICSE official schedule,title/abstract,included,Direct runtime policy checking and action blocking fills enforcement gap.,"ICSE 2026 acceptance verified; DOI not yet verified, so omitted.",仅阅读摘要,2026-07-23,core-method
AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories,Lù et al.,2025,,2504.08942,arXiv; OpenReview,full text,included,Direct meta-evaluation of rules and LLM judges on expert-labeled trajectories.,arXiv and COLM 2025 formal version are one work.,已阅读全文,2026-07-23,core-method
WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?,Drouin et al.,2024,,2403.07718,arXiv; OpenReview,title/abstract,excluded,"Predecessor retained as lineage only; WorkArena++ and BrowserGym provide broader, later coverage.","Not a duplicate version, but excluded from counted corpus to avoid overweighting one environment.",仅阅读摘要,2026-07-23,excluded
ToolBench,not applicable,,,,secondary mention,identity/de-duplication,excluded,"ToolBench is the benchmark introduced/evaluated within ToolLLM, not a separate paper record.",Same research object as ToolLLM paper for counting purposes.,仅核验元数据,2026-07-23,excluded
SWE-bench Verified,not applicable,,,,dataset release,identity/de-duplication,excluded,"Curated benchmark subset/resource, not an independent paper in this review.",Related to SWE-bench but not counted as a separate publication.,仅核验元数据,2026-07-23,excluded
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Zheng et al.,2023,,2306.05685,arXiv; NeurIPS,title/abstract,excluded,Important generic judge background but not agent-specific; used only as secondary methodological context.,No agent-specific version relation.,仅阅读摘要,2026-07-23,excluded
Large Language Models are not Fair Evaluators,Wang et al.,2024,10.18653/v1/2024.acl-long.511,2305.17926,arXiv; ACL Anthology,title/abstract,excluded,Generic LLM evaluation bias paper; outside core agent-testing corpus.,No agent-specific version relation.,仅阅读摘要,2026-07-23,excluded
G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment,Liu et al.,2023,10.18653/v1/2023.emnlp-main.153,,ACL Anthology,title/abstract,excluded,General generation evaluator; agent-specific conclusions require other evidence.,No agent-specific version relation.,仅阅读摘要,2026-07-23,excluded
ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,Ye et al.,2024,10.18653/v1/2024.acl-long.119,2402.10753,arXiv; ACL Anthology,title/abstract,excluded,"Relevant but lower priority after ToolEmu, AgentDojo, AgentHarm and Agent-SafetyBench supplied fuller agent-level safety coverage.",Independent work; not a duplicate.,仅阅读摘要,2026-07-23,excluded
RoTBench: A Multi-Level Benchmark for Evaluating the Robustness of Large Language Models in Tool Learning,Ye et al.,2024,10.18653/v1/2024.emnlp-main.19,2401.08326,arXiv; ACL Anthology,title/abstract,excluded,"Relevant tool robustness benchmark, but lower priority than stateful and trajectory-level core set.",Independent work; not a duplicate.,仅阅读摘要,2026-07-23,excluded
AgentDebug: Where LLM Agents Fail and How They Can Learn From Failures,Zhu et al.,2025,,2509.25370,arXiv; OpenReview,title/abstract,excluded,"Promising error taxonomy, but the ICLR 2026 submission was withdrawn and only preprint evidence was available.",Do not label as an ICLR publication.,仅阅读摘要,2026-07-23,excluded
ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,Aayush Gupta,2026,,2601.06112,arXiv; local PDF,full text,included,Direct production-stress reliability benchmark.,Preprint; no formal version verified.,已阅读全文,2026-08-13,core-method
MAS-FIRE: Fault Injection and Reliability Evaluation for LLM-Based Multi-Agent Systems,Jia et al.,2026,,2602.19843,arXiv; OpenAlex,full text,included,Direct semantic and coordination fault injection across MAS architectures.,Preprint; Crossref fuzzy match rejected.,已阅读全文,2026-08-14,core-method
VeriGrey: Greybox Agent Validation,Yuntong Zhang et al.,2026,,2603.17639,arXiv; local PDF,abstract,watchlist,Highly relevant greybox agent testing method; formal publication not verified.,arXiv v1.,仅阅读摘要,2026-08-13,core-method
PrefixGuard,Huang et al.,2026,,2605.06455,arXiv,title/abstract,excluded,"New runtime-warning preprint; retained as trend, not used for detailed claims.",Independent early preprint; candidate for next update.,仅阅读摘要,2026-07-23,excluded
Consistency as a Testable Property,Raj et al.,2026,,2605.10516,arXiv,title/abstract,excluded,New statistical consistency preprint; falls outside the fully verified stage corpus.,Independent early preprint; candidate for next update.,仅阅读摘要,2026-07-23,excluded
Towards Metamorphic Testing with LLM-based Workflows,unknown,,,,search discovery,title/abstract,excluded,The LLM agent/workflow generates tests for traditional software; the agent itself is not the system under test.,No duplicate relation.,仅核验元数据,2026-07-23,excluded
Multi-Agent LLM-based Metamorphic Testing for REST APIs,unknown,,,,search discovery,title/abstract,excluded,"The tested object is a REST API, while agents are test generators; outside the defined research boundary.",No duplicate relation.,仅核验元数据,2026-07-23,excluded
Safety Testing LLM Agents at Scale: From Risk Discovery to Evidence-Grounded Verification,Yunhao Feng et al.,2026,,2607.01793,arXiv,title/abstract,watchlist,"Highly direct 2026 agent-safety testing framework; retained for follow-up, not mixed into the core 40-paper synthesis until full text and version status are checked.",2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
VESTA: A Fully Automated Scenario Generation and Safety Evaluation Framework for LLM Agents,Lu Jia et al.,2026,,2606.08531,arXiv,title/abstract,watchlist,Automated safety-scenario generation and process-level evaluation; promising but abstract-only at this stage.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
ATBench: A Diverse and Realistic Agent Trajectory Benchmark for Safety Evaluation and Diagnosis,Yu Li et al.,2026,,2604.02022,arXiv,title/abstract,watchlist,Long-horizon trajectory safety benchmark with delayed triggers and human audit; needs full-text and external realism review.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
MemEvoBench: Benchmarking Memory MisEvolution in LLM Agents,Weiwei Xie et al.,2026,,2604.15774,arXiv,title/abstract,watchlist,"Directly targets long-horizon memory contamination and behavioral drift, extending the AgentPoison line.",2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
TIDE: Trajectory-based Diagnostic Evaluation of Test-Time Improvement in LLM Agents,Hang Yan et al.,2026,,2602.02196,arXiv,title/abstract,watchlist,"Provides AUV, Loop Ratio and Memory Index for diagnosing iterative agent improvement.",2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
ClawArena: Benchmarking AI Agents in Evolving Information Environments,Haonian Ji et al.,2026,,2604.04202,arXiv,title/abstract,watchlist,"Tests conflict reasoning, belief revision and implicit personalization under dynamic information updates.",2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
NEXUS: Structured Runtime Safety for Tool-Using LLM Agents,Elias Hossain et al.,2026,,2607.19356,arXiv,title/abstract,watchlist,Runtime allow/block/confirm/revise/review monitor; synthetic benchmark and threat model require full-text audit.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
