title,authors,year,doi,arxiv_id,source,screening_stage,decision,reason,version_relationship,evidence_level,screened_date
"ALFWorld: Aligning Text and Embodied Environments for Interactive Learning","Shridhar et al.","2021","","2010.03768","arXiv; ICLR","title/abstract","include","Foundational paired text/embodied interactive environment; supports embodied-agent benchmark lineage.","arXiv and ICLR 2021 are one work; cite formal version.","仅阅读摘要","2026-07-23"
"ScienceWorld: Is your Agent Smarter than a 5th Grader?","Wang et al.","2022","10.18653/v1/2022.emnlp-main.775","2203.07540","arXiv; ACL Anthology","title/abstract","include","Relevant interactive science environment for grounded, multi-step agent testing.","arXiv and EMNLP 2022 are one work; cite formal version.","仅阅读摘要","2026-07-23"
"API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs","Li et al.","2023","10.18653/v1/2023.emnlp-main.187","2304.08244","arXiv; ACL Anthology","title/abstract","include","Direct benchmark of API retrieval, planning and calling.","arXiv and EMNLP 2023 are one work; cite formal version.","仅阅读摘要","2026-07-23"
"Mind2Web: Towards a Generalist Agent for the Web","Deng et al.","2023","","2306.06070","arXiv; NeurIPS","title/abstract","include","High-impact Web-agent dataset covering unseen sites and domains.","arXiv and NeurIPS 2023 formal record are one work.","仅阅读摘要","2026-07-23"
"InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback","Yang et al.","2023","","2306.14898","arXiv; NeurIPS","title/abstract","include","Provides interactive execution-feedback evaluation for coding agents.","arXiv and NeurIPS 2023 formal record are one work.","仅阅读摘要","2026-07-23"
"WebArena: A Realistic Web Environment for Building Autonomous Agents","Zhou et al.","2024","","2307.13854","arXiv; OpenReview","full text","include","Core realistic browser-agent benchmark with executable functional oracles.","arXiv and ICLR 2024 are one work; cite formal version.","已阅读全文","2026-07-23"
"ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs","Qin et al.","2024","","2307.16789","arXiv; OpenReview","full text","include","Core large-scale tool-use benchmark and evaluator pipeline.","arXiv and ICLR 2024 are one work; ToolBench is not counted separately.","已阅读全文","2026-07-23"
"AgentBench: Evaluating LLMs as Agents","Liu et al.","2024","","2308.03688","arXiv; OpenReview","full text","include","Direct cross-environment LLM-agent evaluation with trajectory failure categories.","arXiv and ICLR 2024 are one work; cite formal version.","已阅读全文","2026-07-23"
"Identifying the Risks of LM Agents with an LM-Emulated Sandbox","Ruan et al.","2024","","2309.15817","arXiv; OpenReview","full text","include","Core simulation-based safety evaluation and risk discovery framework.","ToolEmu is the system name; arXiv and ICLR 2024 are one paper.","已阅读全文","2026-07-23"
"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","Jimenez et al.","2024","","2310.06770","arXiv; OpenReview","full text","include","Canonical repository-level coding-agent benchmark with executable tests.","arXiv and ICLR 2024 are one work; Verified is a dataset subset, not a separate paper.","已阅读全文","2026-07-23"
