title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
DiffTestGen: Change-Directed LLM-Based Testing for Exposing Behavioral Differences,Hui-Min Hu; Cristian Cadar; Michael Pradel,2026,arXiv.org,10.48550/arxiv.2607.16024,2607.16024,,semantic_scholar,0.4,published_with_preprint,abstract_only,,unpaywall: HTTP Error 404: Not Found
Metamorphic Testing of Multi-Agent LLM Systems: A Trace-Based Behavioral Oracle Framework,Gopalakrishnan Marimuthu,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00036,,,crossref,0.3556,published_conference_version,metadata_only,,
Exploring Recommender System Evaluation: A Multi-Modal LLM Agent Framework for A/B Testing,Wenlin Zhang; Xiangyang Li; Qiyuan Ge; Kuicai Dong; Pengyue Jia; Xiaopeng Li; Zijian Zhang; Maolin Wang; Yichao Wang; Huifeng Guo; Ruiming Tang; Xiangyu Zhao,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3770854.3785688,,,crossref,0.3556,published_conference_version,metadata_only,,
Ensuring Reproducibility in Generative AI Systems for General Use Cases: A Framework for Regression Testing and Open Datasets,Masumi Morishige; Ryo Koshihara,2025,arXiv.org,10.48550/arxiv.2505.02854,2505.02854,,semantic_scholar,0.2889,published_with_preprint,abstract_only,,unpaywall: HTTP Error 404: Not Found
Doctorina MedBench: A Dialogue-Based Benchmark and Evaluation Framework for Agent-Based Medical AI,A. Kozlova; S. Salavei; Pavel Satalkin; Hanna Plotnitskaya; Sergey Parfenyuk; Andy Nkansah,2026,,,2603.25821,,semantic_scholar,0.2889,preprint,abstract_only,,
Generating Synthetic Behavioral Health Data: A Multi-Agent LLM System,Dirk Maas; Maani Beigy; Laura Genga; Pieter Van Gorp,2026,Proceedings of the 19th International Joint Conference on Biomedical Engineering Systems and Technologies,10.5220/0014320800004070,,,crossref,0.2667,published_conference_version,metadata_only,,
DriftBench: Detecting LLM Coding Agent Cheating via Specification-Level Constraint Drift Mutation,Fang Hao,2026,"2026 6th International Conference on Artificial Intelligence, Big Data and Algorithms (CAIBDA)",10.1109/caibda70336.2026.11621849,,,crossref,0.2667,published_conference_version,metadata_only,,
Evaluation of Diversity in LLM-Based News Discovery through an Agent-Based System,Sergio Muñoz; Carlos Iglesias,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014146900004052,,,crossref,0.2667,published_conference_version,metadata_only,,
MASTEST: A LLM-Based Multi-Agent System For Testing RESTful APIs,Xiaoke Han; Hong Zhu,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00043,,,crossref,0.2667,published_conference_version,metadata_only,,
Runtime Protection Practice for LLM Agent Security: An On-Demand Behavioral Sandbox Approach,Junyong Jiang,2026,"2026 11th International Symposium on Advances in Electrical, Electronics and Computer Engineering (ISAEECE)",10.1109/isaeece70502.2026.11635191,,,crossref,0.2667,published_conference_version,metadata_only,,
An LLM-Embedding Semantic Adaptation Network for Post-level Semantic Drift Evaluation,Ning Chen; Mingyu Kang; Jie Li; Linyuan Lü,2026,Findings of the Association for Computational Linguistics: ACL 2026,10.18653/v1/2026.findings-acl.1457,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
